Index,Label
438,Shaking Hand
439,Zooming In With Full Hand
440,Zooming In With Full Hand
441,Sliding Two Fingers Up
442,Pushing Two Fingers Away
443,Zooming In With Full Hand
444,Turning Hand Counterclockwise
445,Pushing Hand Away
446,Stop Sign
447,Swiping Up
449,Pushing Two Fingers Away
450,Rolling Hand Forward
451,Pulling Hand In
452,Drumming Fingers
454,Swiping Up
455,Swiping Right
456,No gesture
457,Doing other things
458,Pushing Two Fingers Away
459,Drumming Fingers
460,Rolling Hand Forward
463,Sliding Two Fingers Up
464,Turning Hand Clockwise
465,Pushing Two Fingers Away
466,Drumming Fingers
467,Sliding Two Fingers Down
468,Zooming Out With Two Fingers
469,Zooming In With Full Hand
470,Sliding Two Fingers Right
471,Zooming Out With Full Hand
472,Swiping Left
473,Pushing Hand Away
474,Zooming Out With Full Hand
475,Stop Sign
476,Swiping Up
477,Swiping Left
478,Rolling Hand Backward
479,Thumb Up
480,Turning Hand Clockwise
482,Pulling Hand In
484,Rolling Hand Backward
485,Thumb Down
486,Rolling Hand Backward
487,Doing other things
488,Drumming Fingers
489,Swiping Right
490,Doing other things
491,Rolling Hand Backward
492,No gesture
493,Pushing Hand Away
494,Shaking Hand
495,Shaking Hand
496,Zooming Out With Two Fingers
497,Swiping Down
498,Drumming Fingers
499,Sliding Two Fingers Right
500,Zooming In With Full Hand
501,Rolling Hand Backward
502,Pulling Hand In
503,Drumming Fingers
504,No gesture
505,Swiping Down
506,Doing other things
507,Sliding Two Fingers Down
508,Pulling Hand In
509,Rolling Hand Forward
510,Pushing Two Fingers Away
511,Pulling Two Fingers In
512,Rolling Hand Forward
513,Stop Sign
514,Zooming Out With Full Hand
515,Rolling Hand Forward
516,Doing other things
517,Doing other things
519,Sliding Two Fingers Up
520,Pushing Two Fingers Away
521,Drumming Fingers
522,Swiping Up
523,Pushing Hand Away
524,Thumb Down
525,Sliding Two Fingers Right
526,Rolling Hand Forward
527,Doing other things
528,Rolling Hand Forward
529,Zooming Out With Full Hand
530,Swiping Left
531,Thumb Down
532,Sliding Two Fingers Left
533,Thumb Down
534,Zooming Out With Full Hand
535,Zooming In With Two Fingers
536,Doing other things
537,Pushing Hand Away
538,Rolling Hand Forward
539,Pulling Two Fingers In
540,Zooming In With Two Fingers
541,Sliding Two Fingers Down
542,Doing other things
543,Drumming Fingers
544,Turning Hand Counterclockwise
545,Doing other things
546,Drumming Fingers
547,Sliding Two Fingers Left
548,Sliding Two Fingers Right
549,Zooming In With Full Hand
550,Turning Hand Clockwise
551,Zooming Out With Full Hand
552,Swiping Left
553,Sliding Two Fingers Left
554,Swiping Down
555,Zooming In With Full Hand
556,Drumming Fingers
557,Rolling Hand Forward
558,Stop Sign
559,Sliding Two Fingers Left
560,Thumb Down
561,Thumb Down
562,Zooming Out With Two Fingers
563,Pulling Two Fingers In
564,Sliding Two Fingers Left
565,Doing other things
566,Pulling Hand In
567,Drumming Fingers
568,Pushing Hand Away
570,Drumming Fingers
571,Swiping Down
573,Rolling Hand Forward
574,Zooming Out With Full Hand
575,Turning Hand Counterclockwise
576,Sliding Two Fingers Up
577,Stop Sign
578,Swiping Down
579,Swiping Left
580,Shaking Hand
581,Zooming In With Full Hand
582,Stop Sign
583,Pulling Hand In
584,Doing other things
585,Rolling Hand Forward
586,Pulling Two Fingers In
587,Swiping Up
588,Sliding Two Fingers Right
590,Zooming Out With Full Hand
592,Doing other things
593,Sliding Two Fingers Right
596,Sliding Two Fingers Left
597,Sliding Two Fingers Up
598,Sliding Two Fingers Right
600,Doing other things
602,Swiping Left
603,Swiping Left
604,Thumb Up
605,Pulling Hand In
606,Rolling Hand Forward
607,Swiping Right
608,Pushing Two Fingers Away
609,Swiping Right
610,Thumb Up
614,Turning Hand Clockwise
616,Thumb Up
618,Pushing Hand Away
620,Doing other things
621,Swiping Up
622,Stop Sign
623,Swiping Down
624,Sliding Two Fingers Right
625,Drumming Fingers
626,Drumming Fingers
627,Pushing Two Fingers Away
628,Zooming Out With Two Fingers
629,Rolling Hand Backward
630,Zooming In With Two Fingers
631,Swiping Up
632,Doing other things
633,Sliding Two Fingers Up
634,Rolling Hand Forward
635,No gesture
636,Rolling Hand Forward
637,Zooming Out With Full Hand
638,Zooming Out With Two Fingers
639,Zooming Out With Two Fingers
640,Stop Sign
641,Stop Sign
642,Zooming Out With Two Fingers
643,Shaking Hand
644,Pushing Two Fingers Away
645,Swiping Left
646,Swiping Left
647,Pulling Two Fingers In
649,Rolling Hand Backward
650,Turning Hand Clockwise
651,No gesture
652,Thumb Up
654,Zooming Out With Two Fingers
656,Rolling Hand Forward
657,Doing other things
658,Thumb Up
659,Zooming Out With Full Hand
661,Thumb Down
662,Doing other things
663,Pushing Hand Away
664,Doing other things
665,Sliding Two Fingers Left
666,Sliding Two Fingers Right
667,Thumb Down
668,Turning Hand Clockwise
669,No gesture
670,Zooming In With Full Hand
671,Zooming Out With Full Hand
672,Pushing Two Fingers Away
673,Pushing Two Fingers Away
674,Pulling Two Fingers In
675,Doing other things
676,Stop Sign
679,Drumming Fingers
680,Swiping Up
681,Thumb Up
682,Pushing Hand Away
683,No gesture
684,Swiping Up
686,Zooming Out With Full Hand
687,Thumb Up
688,Stop Sign
689,Shaking Hand
690,Thumb Down
691,Swiping Up
692,Doing other things
694,Shaking Hand
695,Zooming In With Two Fingers
696,Doing other things
697,Turning Hand Counterclockwise
698,Sliding Two Fingers Down
699,Turning Hand Counterclockwise
700,Doing other things
701,Thumb Down
702,Sliding Two Fingers Up
703,Rolling Hand Backward
704,Pulling Two Fingers In
705,Swiping Up
706,Shaking Hand
709,Doing other things
710,Swiping Left
711,Doing other things
712,Sliding Two Fingers Right
713,Zooming Out With Full Hand
714,Swiping Down
715,Swiping Left
716,Thumb Up
717,Turning Hand Clockwise
718,Thumb Up
719,Shaking Hand
720,Swiping Right
721,Pulling Hand In
722,Doing other things
723,Drumming Fingers
724,Stop Sign
725,Pushing Hand Away
726,Swiping Up
727,Thumb Down
728,Zooming In With Two Fingers
729,Sliding Two Fingers Left
730,Zooming Out With Two Fingers
731,Drumming Fingers
732,Zooming Out With Two Fingers
733,Shaking Hand
734,Rolling Hand Forward
735,Zooming Out With Two Fingers
736,Drumming Fingers
738,Sliding Two Fingers Down
739,Turning Hand Counterclockwise
740,Zooming Out With Two Fingers
741,Swiping Up
742,Swiping Right
743,Turning Hand Clockwise
744,Stop Sign
745,Pulling Hand In
746,Pushing Hand Away
747,Zooming Out With Two Fingers
748,Sliding Two Fingers Up
749,Shaking Hand
750,Pulling Two Fingers In
751,Doing other things
752,Pulling Two Fingers In
753,Drumming Fingers
754,Stop Sign
755,Stop Sign
756,Sliding Two Fingers Left
757,Sliding Two Fingers Up
758,Shaking Hand
759,Thumb Up
760,Zooming In With Two Fingers
761,Swiping Left
762,Thumb Down
763,Zooming In With Two Fingers
764,Zooming In With Full Hand
765,Thumb Down
766,Pulling Hand In
768,Rolling Hand Backward
769,Swiping Left
770,Zooming In With Full Hand
771,Rolling Hand Backward
772,Zooming Out With Two Fingers
773,Swiping Down
774,Pushing Hand Away
775,Thumb Up
776,Swiping Left
777,Zooming In With Two Fingers
778,Pulling Hand In
779,Shaking Hand
782,No gesture
783,Sliding Two Fingers Left
784,Sliding Two Fingers Up
785,Pushing Two Fingers Away
786,Zooming In With Full Hand
787,Stop Sign
788,Pulling Two Fingers In
790,Zooming Out With Full Hand
791,Zooming Out With Full Hand
792,Rolling Hand Backward
793,Doing other things
794,Rolling Hand Forward
795,Shaking Hand
796,Drumming Fingers
798,Pulling Hand In
799,Stop Sign
800,Turning Hand Clockwise
801,Pulling Two Fingers In
803,Doing other things
804,Pulling Two Fingers In
805,Pulling Hand In
806,Doing other things
807,Sliding Two Fingers Left
808,Sliding Two Fingers Left
809,Swiping Up
811,Doing other things
812,Swiping Down
813,Pushing Hand Away
814,Turning Hand Clockwise
815,Zooming Out With Full Hand
816,Sliding Two Fingers Left
817,Pushing Hand Away
818,No gesture
819,Sliding Two Fingers Up
820,Rolling Hand Forward
821,Thumb Down
822,Swiping Down
823,Zooming Out With Two Fingers
825,Doing other things
826,Swiping Right
827,Pushing Hand Away
828,Sliding Two Fingers Up
829,Shaking Hand
830,Sliding Two Fingers Up
831,Swiping Right
833,Sliding Two Fingers Right
834,Zooming In With Two Fingers
835,Sliding Two Fingers Right
836,Doing other things
837,Rolling Hand Backward
838,Zooming Out With Two Fingers
840,Zooming Out With Two Fingers
841,Zooming In With Full Hand
842,Thumb Up
843,Swiping Left
844,Doing other things
845,Pushing Hand Away
846,Sliding Two Fingers Up
847,Doing other things
848,Zooming In With Two Fingers
849,Pushing Two Fingers Away
850,Thumb Down
851,Doing other things
852,No gesture
853,Zooming Out With Two Fingers
854,Swiping Left
855,Sliding Two Fingers Right
856,Sliding Two Fingers Up
857,Sliding Two Fingers Left
859,Sliding Two Fingers Right
860,Thumb Up
861,Zooming Out With Full Hand
863,Zooming Out With Two Fingers
864,Swiping Down
865,Rolling Hand Forward
866,Sliding Two Fingers Right
867,Sliding Two Fingers Down
868,Doing other things
869,Sliding Two Fingers Left
872,Sliding Two Fingers Down
873,Sliding Two Fingers Left
874,Swiping Right
875,Drumming Fingers
876,Stop Sign
877,Swiping Left
878,Zooming In With Two Fingers
880,Rolling Hand Forward
881,Pushing Hand Away
882,Pushing Two Fingers Away
883,Swiping Right
885,Swiping Up
886,Pulling Hand In
887,Shaking Hand
888,Zooming In With Full Hand
889,Sliding Two Fingers Right
890,Thumb Up
891,Stop Sign
892,Doing other things
893,Zooming Out With Full Hand
894,Turning Hand Clockwise
895,Pulling Two Fingers In
896,Swiping Down
897,No gesture
898,Zooming In With Two Fingers
899,Pulling Hand In
900,Shaking Hand
901,Pushing Hand Away
902,Sliding Two Fingers Right
903,Drumming Fingers
904,No gesture
907,Pulling Hand In
908,Sliding Two Fingers Right
909,Zooming Out With Full Hand
910,Rolling Hand Backward
911,Zooming In With Two Fingers
912,Thumb Up
913,No gesture
914,Zooming In With Full Hand
915,No gesture
916,Doing other things
917,Doing other things
918,Zooming Out With Full Hand
919,Stop Sign
920,Sliding Two Fingers Right
921,Turning Hand Counterclockwise
922,Pulling Hand In
923,Swiping Right
924,Zooming Out With Two Fingers
925,Stop Sign
926,Swiping Right
927,Zooming Out With Two Fingers
928,Zooming In With Two Fingers
929,Doing other things
930,Swiping Right
931,Pulling Two Fingers In
932,Sliding Two Fingers Right
933,Zooming Out With Full Hand
934,Swiping Up
936,No gesture
937,Sliding Two Fingers Up
938,Swiping Left
939,Pulling Two Fingers In
940,Sliding Two Fingers Down
941,No gesture
942,Pulling Hand In
943,Pulling Hand In
944,Pushing Two Fingers Away
945,Turning Hand Counterclockwise
946,Sliding Two Fingers Right
947,Swiping Left
949,Shaking Hand
950,Rolling Hand Forward
951,Pushing Two Fingers Away
952,No gesture
953,Swiping Up
954,Pushing Two Fingers Away
955,Thumb Down
956,Thumb Down
957,Sliding Two Fingers Right
958,Shaking Hand
959,Pulling Two Fingers In
960,Zooming Out With Full Hand
961,Rolling Hand Forward
962,Doing other things
963,Zooming In With Two Fingers
965,Sliding Two Fingers Up
966,Swiping Left
967,Sliding Two Fingers Right
968,Pulling Hand In
970,Rolling Hand Backward
971,Zooming In With Full Hand
972,Thumb Down
973,Pushing Hand Away
974,Thumb Up
975,Doing other things
976,Pushing Hand Away
977,Swiping Down
978,Drumming Fingers
979,Sliding Two Fingers Right
981,Turning Hand Clockwise
982,No gesture
983,Stop Sign
985,Thumb Down
986,Sliding Two Fingers Up
987,Sliding Two Fingers Down
988,Thumb Up
989,Sliding Two Fingers Down
990,Turning Hand Counterclockwise
991,Sliding Two Fingers Right
992,Sliding Two Fingers Down
993,Sliding Two Fingers Right
994,Sliding Two Fingers Left
995,Thumb Down
996,Stop Sign
997,Sliding Two Fingers Down
998,Doing other things
1000,Sliding Two Fingers Left
1002,Zooming Out With Two Fingers
1003,Swiping Left
1004,Zooming Out With Two Fingers
1005,Pulling Hand In
1006,Zooming In With Full Hand
1007,Sliding Two Fingers Down
1008,Drumming Fingers
1009,Swiping Up
1011,Doing other things
1012,Zooming In With Full Hand
1013,Zooming In With Two Fingers
1014,Sliding Two Fingers Right
1015,Sliding Two Fingers Up
1016,Stop Sign
1017,Doing other things
1018,Swiping Up
1019,Swiping Right
1020,Turning Hand Clockwise
1021,Turning Hand Counterclockwise
1022,Swiping Left
1023,Swiping Down
1024,Swiping Right
1025,Sliding Two Fingers Left
1026,Drumming Fingers
1027,Zooming Out With Full Hand
1028,Doing other things
1029,No gesture
1030,Swiping Down
1031,Swiping Up
1032,Pushing Hand Away
1033,Swiping Down
1034,Doing other things
1035,Zooming In With Two Fingers
1036,Swiping Right
1037,Swiping Left
1038,Zooming Out With Two Fingers
1039,Swiping Down
1040,No gesture
1041,Swiping Right
1043,Drumming Fingers
1044,Zooming Out With Two Fingers
1046,Stop Sign
1047,Zooming In With Full Hand
1048,Zooming Out With Two Fingers
1050,Swiping Right
1051,Doing other things
1052,Thumb Up
1053,Doing other things
1054,Swiping Left
1055,Pushing Hand Away
1056,Doing other things
1057,Rolling Hand Backward
1058,Swiping Down
1059,Zooming In With Two Fingers
1060,Drumming Fingers
1061,Thumb Down
1062,No gesture
1063,Drumming Fingers
1064,Swiping Down
1065,Swiping Left
1066,Pulling Hand In
1067,Swiping Up
1068,Thumb Down
1069,Thumb Down
1070,Stop Sign
1071,Thumb Down
1072,Drumming Fingers
1073,Thumb Down
1074,Drumming Fingers
1075,Swiping Right
1077,Pulling Hand In
1078,Turning Hand Counterclockwise
1079,Swiping Up
1080,Rolling Hand Forward
1081,Thumb Down
1082,Doing other things
1083,Doing other things
1085,Zooming Out With Two Fingers
1086,Swiping Left
1087,Swiping Right
1088,Zooming Out With Two Fingers
1089,Swiping Right
1090,Zooming Out With Two Fingers
1092,Swiping Up
1093,Doing other things
1095,Zooming In With Full Hand
1096,Pulling Hand In
1097,Stop Sign
1098,Drumming Fingers
1100,Drumming Fingers
1102,Rolling Hand Backward
1103,Zooming Out With Full Hand
1104,Swiping Left
1105,Rolling Hand Forward
1106,Sliding Two Fingers Down
1107,Zooming In With Full Hand
1108,Thumb Down
1109,Zooming In With Two Fingers
1111,No gesture
1112,Shaking Hand
1113,Swiping Up
1114,Pulling Two Fingers In
1115,Shaking Hand
1116,Zooming In With Two Fingers
1117,Doing other things
1119,No gesture
1120,Thumb Down
1121,Thumb Up
1122,Shaking Hand
1123,Thumb Up
1124,Rolling Hand Backward
1125,Pulling Hand In
1126,Zooming Out With Two Fingers
1127,Zooming In With Full Hand
1128,Shaking Hand
1130,Turning Hand Counterclockwise
1131,Pushing Hand Away
1133,Shaking Hand
1134,Pulling Hand In
1135,Swiping Left
1136,Rolling Hand Forward
1137,Sliding Two Fingers Left
1138,Sliding Two Fingers Up
1139,Pushing Hand Away
1140,Pushing Two Fingers Away
1141,Doing other things
1142,Doing other things
1143,Zooming In With Two Fingers
1144,Pushing Hand Away
1145,Swiping Down
1147,Pushing Two Fingers Away
1148,Drumming Fingers
1149,Rolling Hand Forward
1150,Zooming In With Two Fingers
1151,Pulling Two Fingers In
1152,Zooming Out With Full Hand
1153,Pushing Two Fingers Away
1154,Pushing Hand Away
1155,Zooming Out With Two Fingers
1156,Pushing Two Fingers Away
1157,Thumb Up
1158,No gesture
1159,Swiping Right
1160,Doing other things
1161,Zooming In With Full Hand
1162,Pulling Hand In
1163,Zooming In With Two Fingers
1165,Turning Hand Clockwise
1166,Pulling Two Fingers In
1167,Doing other things
1169,Thumb Up
1170,Swiping Down
1172,Rolling Hand Forward
1173,Stop Sign
1174,Doing other things
1175,Sliding Two Fingers Right
1176,Zooming In With Full Hand
1178,Zooming Out With Full Hand
1179,Rolling Hand Backward
1180,Sliding Two Fingers Right
1181,Drumming Fingers
1182,Rolling Hand Forward
1183,Pulling Hand In
1185,Doing other things
1187,Swiping Down
1188,Rolling Hand Forward
1189,Pushing Hand Away
1191,Shaking Hand
1192,Swiping Right
1193,Zooming In With Full Hand
1194,Zooming Out With Two Fingers
1197,Pushing Two Fingers Away
1199,Zooming In With Full Hand
1200,Turning Hand Clockwise
1201,Pulling Two Fingers In
1202,Sliding Two Fingers Left
1203,No gesture
1204,Stop Sign
1205,Swiping Down
1207,Pushing Two Fingers Away
1208,No gesture
1209,Rolling Hand Backward
1210,Zooming Out With Two Fingers
1211,Zooming Out With Two Fingers
1212,Zooming Out With Two Fingers
1213,Swiping Up
1214,Swiping Left
1215,Sliding Two Fingers Down
1216,Sliding Two Fingers Left
1217,Thumb Down
1218,Rolling Hand Backward
1220,Turning Hand Counterclockwise
1221,Rolling Hand Backward
1222,Rolling Hand Forward
1223,Zooming Out With Full Hand
1224,Zooming Out With Two Fingers
1225,Stop Sign
1226,Rolling Hand Backward
1227,Zooming In With Two Fingers
1228,No gesture
1229,Doing other things
1230,Swiping Right
1231,Swiping Right
1232,Zooming Out With Full Hand
1233,Sliding Two Fingers Down
1235,Pushing Two Fingers Away
1236,Drumming Fingers
1238,Swiping Left
1239,Swiping Down
1240,Thumb Down
1241,Zooming In With Full Hand
1242,Swiping Right
1243,Sliding Two Fingers Up
1244,Sliding Two Fingers Up
1245,Turning Hand Counterclockwise
1246,Swiping Down
1247,Sliding Two Fingers Left
1248,Swiping Up
1249,Zooming In With Two Fingers
1250,Sliding Two Fingers Up
1251,Swiping Up
1252,Sliding Two Fingers Down
1253,Thumb Down
1254,Doing other things
1255,Turning Hand Counterclockwise
1256,Zooming Out With Two Fingers
1257,Sliding Two Fingers Right
1258,Sliding Two Fingers Left
1259,Drumming Fingers
1260,Doing other things
1261,Zooming Out With Full Hand
1262,Zooming Out With Two Fingers
1264,Swiping Up
1265,Sliding Two Fingers Down
1266,Sliding Two Fingers Up
1267,Zooming Out With Two Fingers
1268,Doing other things
1269,Zooming Out With Two Fingers
1271,Doing other things
1272,Swiping Down
1273,Pushing Two Fingers Away
1274,No gesture
1275,Thumb Down
1276,Pushing Hand Away
1277,Sliding Two Fingers Left
1278,Swiping Down
1279,Thumb Down
1280,Zooming In With Full Hand
1281,Swiping Up
1282,No gesture
1283,Sliding Two Fingers Left
1284,Doing other things
1285,No gesture
1286,Swiping Right
1287,Turning Hand Counterclockwise
1288,Swiping Right
1289,Sliding Two Fingers Left
1290,Swiping Right
1291,Zooming In With Full Hand
1292,Swiping Down
1293,Zooming Out With Two Fingers
1294,Stop Sign
1296,Drumming Fingers
1297,Thumb Down
