,Index,Label
1281,70274,Pushing Two Fingers Away
1283,57780,No gesture
1287,139065,Rolling Hand Forward
1288,72732,Rolling Hand Forward
1294,110384,Sliding Two Fingers Down
1297,106260,Thumb Up
1307,146328,Sliding Two Fingers Down
1309,62208,Sliding Two Fingers Down
1310,48391,Rolling Hand Forward
1311,102910,No gesture
1312,12541,Pushing Two Fingers Away
1314,40598,Thumb Up
1324,6409,No gesture
1326,2066,No gesture
1331,22216,Sliding Two Fingers Left
1332,10478,Sliding Two Fingers Down
1333,126829,Sliding Two Fingers Down
1335,126087,Sliding Two Fingers Down
1342,45784,No gesture
1343,44242,Sliding Two Fingers Down
1346,78535,Sliding Two Fingers Left
1347,69055,Sliding Two Fingers Down
1348,42680,Turning Hand Counterclockwise
1349,6378,Sliding Two Fingers Down
1353,44496,Shaking Hand
1355,8503,Pulling Hand In
1362,64679,Pulling Hand In
1364,32789,Sliding Two Fingers Left
1367,97690,Sliding Two Fingers Right
1378,42775,Shaking Hand
1379,64226,Rolling Hand Forward
1380,25788,Sliding Two Fingers Left
1381,9381,Sliding Two Fingers Right
1383,39754,Pushing Two Fingers Away
1386,65314,Pushing Two Fingers Away
1389,138696,No gesture
1390,87654,No gesture
1393,146043,Pushing Two Fingers Away
1395,128758,Rolling Hand Forward
1401,42240,Pulling Hand In
1405,74840,Sliding Two Fingers Left
1413,120112,Turning Hand Counterclockwise
1414,118486,Sliding Two Fingers Down
1415,35366,Sliding Two Fingers Left
1417,123197,Rolling Hand Forward
1420,60815,Sliding Two Fingers Left
1433,57714,Sliding Two Fingers Left
1435,58071,Sliding Two Fingers Down
1438,139590,Thumb Up
1443,76865,Thumb Up
1447,26231,Pushing Two Fingers Away
1448,139149,Shaking Hand
1452,2587,Sliding Two Fingers Left
1455,116427,Pushing Two Fingers Away
1459,37350,Shaking Hand
1460,50142,Turning Hand Counterclockwise
1464,128039,Thumb Up
1465,56219,Thumb Up
1468,119747,Pulling Hand In
1469,72016,Pulling Hand In
1470,11952,Rolling Hand Forward
1471,27049,Shaking Hand
1472,88614,Sliding Two Fingers Left
1473,128834,Thumb Up
1474,11198,Thumb Up
1475,139827,Pulling Hand In
1477,108602,Sliding Two Fingers Left
1480,87350,Rolling Hand Forward
1481,34695,Sliding Two Fingers Down
1484,99096,Thumb Up
1485,114350,Sliding Two Fingers Left
1486,81898,Sliding Two Fingers Down
1489,94930,Pulling Hand In
1497,95091,Turning Hand Counterclockwise
1498,35772,Sliding Two Fingers Down
1509,56696,Thumb Up
1514,96379,Sliding Two Fingers Right
1524,1885,Pulling Hand In
1525,74077,Sliding Two Fingers Right
1527,32359,No gesture
1533,104793,Sliding Two Fingers Down
1536,43274,Sliding Two Fingers Down
1537,61138,Sliding Two Fingers Left
1538,119115,Sliding Two Fingers Right
1539,21319,Sliding Two Fingers Right
1545,59530,Shaking Hand
1547,118611,Sliding Two Fingers Right
1548,137360,No gesture
1558,10744,Sliding Two Fingers Down
1564,82216,Sliding Two Fingers Left
1572,87734,Sliding Two Fingers Down
1578,104310,Thumb Up
1579,129345,Pulling Hand In
1584,2588,Pushing Two Fingers Away
1596,48436,Sliding Two Fingers Right
1598,71170,Pulling Hand In
1599,26438,Pulling Hand In
1603,24431,Pulling Hand In
1604,1505,Rolling Hand Forward
1606,97710,Sliding Two Fingers Right
1607,8636,Rolling Hand Forward
1608,69091,Shaking Hand
1610,38058,Sliding Two Fingers Left
1613,147036,Sliding Two Fingers Left
1614,83654,Sliding Two Fingers Left
1618,111441,No gesture
1619,91892,Rolling Hand Forward
1621,40530,Sliding Two Fingers Left
1622,114657,Thumb Up
1623,14375,No gesture
1633,139671,Pulling Hand In
1637,111859,Rolling Hand Forward
1639,121728,Sliding Two Fingers Down
1643,5229,Shaking Hand
1645,5650,Turning Hand Counterclockwise
1646,79882,Sliding Two Fingers Down
1647,49257,Sliding Two Fingers Left
1649,81437,Pulling Hand In
1650,13217,Shaking Hand
1651,13375,No gesture
1652,96502,Thumb Up
1655,92749,Pulling Hand In
1657,95845,Thumb Up
1660,146645,No gesture
1661,144203,No gesture
1663,28225,Pushing Two Fingers Away
1673,34460,No gesture
1674,92014,Sliding Two Fingers Right
1675,100008,No gesture
1676,111056,Turning Hand Counterclockwise
1679,50620,Thumb Up
1683,127350,Shaking Hand
1687,7120,Thumb Up
1690,103174,Turning Hand Counterclockwise
1694,83165,Pushing Two Fingers Away
1701,124629,Sliding Two Fingers Down
1704,26601,Thumb Up
1706,147710,Pulling Hand In
1708,21347,Sliding Two Fingers Left
1711,100304,No gesture
1713,127537,Sliding Two Fingers Right
1715,139190,Pushing Two Fingers Away
1716,97032,No gesture
1717,54841,Sliding Two Fingers Right
1720,3750,Sliding Two Fingers Left
1721,76094,Sliding Two Fingers Down
1722,116480,Turning Hand Counterclockwise
1726,97599,Sliding Two Fingers Right
1732,30206,Pushing Two Fingers Away
1736,100874,Shaking Hand
1738,6068,Shaking Hand
1750,40271,Thumb Up
1752,115872,No gesture
1754,104450,Shaking Hand
1757,130547,No gesture
1760,135914,Pushing Two Fingers Away
1762,30081,Sliding Two Fingers Left
1763,87390,Sliding Two Fingers Right
1764,126279,Sliding Two Fingers Right
1765,70718,Sliding Two Fingers Left
1768,5855,Sliding Two Fingers Down
1769,17542,Shaking Hand
1770,66808,Pushing Two Fingers Away
1771,10738,Pulling Hand In
1773,84406,Thumb Up
1775,56854,Thumb Up
1777,82011,Turning Hand Counterclockwise
1778,136780,Rolling Hand Forward
1779,75273,Turning Hand Counterclockwise
1781,82227,Thumb Up
1784,1066,Pulling Hand In
1787,79318,Sliding Two Fingers Right
1788,140473,Thumb Up
1793,93406,Sliding Two Fingers Down
1798,12558,Rolling Hand Forward
1803,58980,No gesture
1806,26789,Shaking Hand
1808,57811,Turning Hand Counterclockwise
1814,147465,Pulling Hand In
1816,4264,Rolling Hand Forward
1819,2793,No gesture
1821,134645,Sliding Two Fingers Right
1829,127707,Sliding Two Fingers Right
1830,6801,Pulling Hand In
1831,65069,Sliding Two Fingers Left
1841,88625,Pushing Two Fingers Away
1842,124935,Pushing Two Fingers Away
1847,6355,Shaking Hand
1855,147295,No gesture
1856,82710,Shaking Hand
1857,90532,Pulling Hand In
1865,6305,Sliding Two Fingers Right
1868,3896,Thumb Up
1870,91834,Shaking Hand
1871,109823,Sliding Two Fingers Right
1873,86266,Rolling Hand Forward
1874,145936,Shaking Hand
1880,104700,Sliding Two Fingers Left
1881,54891,Rolling Hand Forward
1883,133333,Turning Hand Counterclockwise
1885,77040,Sliding Two Fingers Down
1891,38817,Sliding Two Fingers Left
1892,125070,Rolling Hand Forward
1893,79034,Thumb Up
1894,129201,Sliding Two Fingers Left
1897,120936,Pushing Two Fingers Away
1904,1554,Sliding Two Fingers Left
1920,20625,Sliding Two Fingers Left
1922,43467,Sliding Two Fingers Left
1926,125737,Sliding Two Fingers Down
1929,39519,Thumb Up
1933,118579,Shaking Hand
1936,68230,No gesture
1939,131065,Sliding Two Fingers Right
1948,82208,Pushing Two Fingers Away
1949,108478,Sliding Two Fingers Right
1951,126854,Thumb Up
1953,97970,Thumb Up
1954,27900,Shaking Hand
1955,74902,Sliding Two Fingers Left
1958,64000,Sliding Two Fingers Right
1959,52396,Turning Hand Counterclockwise
1961,23008,Sliding Two Fingers Down
1964,27869,Sliding Two Fingers Left
1965,123996,Sliding Two Fingers Right
1967,102179,Pushing Two Fingers Away
1968,117578,Sliding Two Fingers Left
1969,122963,Sliding Two Fingers Left
1971,126946,Sliding Two Fingers Down
1975,112057,Pulling Hand In
1984,68808,Thumb Up
1985,55001,No gesture
1986,77560,Thumb Up
1988,102740,Thumb Up
1989,56572,Pulling Hand In
1990,90172,Pulling Hand In
1996,125935,Pushing Two Fingers Away
1998,35317,Thumb Up
2000,147151,Thumb Up
2001,25867,No gesture
2002,114865,Pulling Hand In
2004,5165,Sliding Two Fingers Right
2006,90764,Sliding Two Fingers Left
2008,141884,Sliding Two Fingers Right
2015,61366,Sliding Two Fingers Left
2018,146722,Sliding Two Fingers Left
2022,122660,Sliding Two Fingers Right
2023,84509,Pulling Hand In
2028,104651,Thumb Up
2029,40612,Pushing Two Fingers Away
2030,89061,Pushing Two Fingers Away
2031,91375,Pulling Hand In
2035,6155,No gesture
2037,58923,No gesture
2041,137685,Sliding Two Fingers Right
2052,99215,Sliding Two Fingers Left
2055,110426,Sliding Two Fingers Down
2065,65572,Shaking Hand
2066,82238,Pushing Two Fingers Away
2070,30846,Sliding Two Fingers Down
2071,115710,No gesture
2072,128627,Turning Hand Counterclockwise
2073,144273,Pushing Two Fingers Away
2074,29446,Sliding Two Fingers Down
2076,53354,No gesture
2079,69202,No gesture
2080,54096,Shaking Hand
2082,141492,Rolling Hand Forward
2091,115535,No gesture
2095,101282,Sliding Two Fingers Left
2099,92166,Sliding Two Fingers Right
2100,141459,Thumb Up
2102,43800,Shaking Hand
2105,132740,Sliding Two Fingers Right
2111,38784,Pushing Two Fingers Away
2114,60781,Sliding Two Fingers Left
2120,109275,Sliding Two Fingers Left
2122,11256,Sliding Two Fingers Right
2129,21678,Rolling Hand Forward
2130,132814,Pulling Hand In
2132,119702,Rolling Hand Forward
2133,147867,Turning Hand Counterclockwise
2134,41731,Turning Hand Counterclockwise
2136,36416,Pulling Hand In
2137,116838,Rolling Hand Forward
2139,107213,Pulling Hand In
2141,85948,No gesture
2142,114254,Sliding Two Fingers Left
2149,30803,Sliding Two Fingers Left
2150,1357,Thumb Up
2151,147602,No gesture
2152,48358,Sliding Two Fingers Right
2155,143370,Sliding Two Fingers Left
2160,75532,Sliding Two Fingers Left
2161,110845,Pushing Two Fingers Away
2165,28651,Turning Hand Counterclockwise
2171,93664,Pushing Two Fingers Away
2184,8019,Sliding Two Fingers Left
2186,119336,Sliding Two Fingers Left
2190,75657,Rolling Hand Forward
2194,47445,Sliding Two Fingers Left
2197,132856,Sliding Two Fingers Down
2198,115254,Pulling Hand In
2201,146127,Sliding Two Fingers Left
2202,14196,Pulling Hand In
2207,142041,Shaking Hand
2209,58592,Pulling Hand In
2213,130613,Thumb Up
2215,142678,Shaking Hand
2218,11298,Sliding Two Fingers Left
2219,128048,Shaking Hand
2220,63566,Rolling Hand Forward
2223,104131,Shaking Hand
2225,85014,No gesture
2226,117926,Rolling Hand Forward
2229,97477,No gesture
2230,122832,Rolling Hand Forward
2233,83191,Rolling Hand Forward
2235,51531,Thumb Up
2237,17868,No gesture
2238,21243,Rolling Hand Forward
2239,37231,Pushing Two Fingers Away
2240,20214,Turning Hand Counterclockwise
2241,115628,Rolling Hand Forward
2242,19575,Turning Hand Counterclockwise
2245,12215,Pushing Two Fingers Away
2247,140878,Thumb Up
2251,83197,Shaking Hand
2252,108585,Sliding Two Fingers Down
2253,83723,Pulling Hand In
2254,15632,Turning Hand Counterclockwise
2256,55416,Rolling Hand Forward
2265,10812,Turning Hand Counterclockwise
2269,5425,Thumb Up
2270,71801,Thumb Up
2274,100588,Sliding Two Fingers Right
2275,2915,Thumb Up
2277,125195,Thumb Up
2279,28508,Pulling Hand In
2280,48641,Sliding Two Fingers Down
2281,127436,Rolling Hand Forward
2282,3301,Thumb Up
2288,61085,Turning Hand Counterclockwise
2290,69660,Sliding Two Fingers Left
2292,73644,Sliding Two Fingers Right
2293,78633,No gesture
2295,66572,No gesture
2300,147645,Thumb Up
2303,117603,Pushing Two Fingers Away
2313,14740,No gesture
2317,68894,Sliding Two Fingers Down
2318,92631,Sliding Two Fingers Left
2325,61339,Rolling Hand Forward
2327,50499,Pushing Two Fingers Away
2328,115894,Sliding Two Fingers Left
2329,76779,Sliding Two Fingers Down
2330,107744,No gesture
2331,118487,No gesture
2334,27162,Shaking Hand
2342,95255,Sliding Two Fingers Right
2346,15940,Sliding Two Fingers Right
2348,147814,Sliding Two Fingers Down
2350,52058,No gesture
2352,25602,Thumb Up
2356,49456,Rolling Hand Forward
2359,141553,Sliding Two Fingers Right
2367,77448,Sliding Two Fingers Left
2369,52167,Sliding Two Fingers Down
2372,122332,Pulling Hand In
2375,101015,Turning Hand Counterclockwise
2376,56683,No gesture
2380,103235,Sliding Two Fingers Left
2384,101915,Turning Hand Counterclockwise
2386,86625,Sliding Two Fingers Right
2387,43012,No gesture
2389,70981,Shaking Hand
2391,53818,Pushing Two Fingers Away
2393,71082,Thumb Up
2408,136683,Sliding Two Fingers Left
2409,99578,Pushing Two Fingers Away
2411,11713,Sliding Two Fingers Right
2413,88554,Turning Hand Counterclockwise
2418,50187,Pushing Two Fingers Away
2423,23411,Shaking Hand
2425,88268,Pulling Hand In
2426,65715,No gesture
2428,138648,Shaking Hand
2429,90662,Pulling Hand In
2434,76389,Pushing Two Fingers Away
2439,27017,Rolling Hand Forward
2442,145403,Pushing Two Fingers Away
2444,82294,Turning Hand Counterclockwise
2445,82751,Thumb Up
2449,131943,Sliding Two Fingers Left
2454,79290,No gesture
2457,13381,Sliding Two Fingers Down
2459,38900,Thumb Up
2461,104695,Sliding Two Fingers Down
2462,75597,Sliding Two Fingers Down
2464,130135,No gesture
2466,2961,Thumb Up
2468,25107,Sliding Two Fingers Right
2472,92129,Sliding Two Fingers Right
2473,44952,Sliding Two Fingers Left
2475,131477,Pushing Two Fingers Away
2477,137713,Turning Hand Counterclockwise
2481,62848,Rolling Hand Forward
2484,18583,Shaking Hand
2489,43170,Thumb Up
2496,26688,Sliding Two Fingers Right
2497,115687,Shaking Hand
2503,126659,No gesture
2507,144378,Sliding Two Fingers Down
2508,9512,Sliding Two Fingers Right
2509,46071,Rolling Hand Forward
2510,127682,Pulling Hand In
2513,98024,Pushing Two Fingers Away
2515,91807,No gesture
2519,127375,Rolling Hand Forward
2521,82027,Turning Hand Counterclockwise
2522,40541,Shaking Hand
2526,121431,Sliding Two Fingers Down
2527,42365,Turning Hand Counterclockwise
2529,129503,Shaking Hand
2531,2359,Sliding Two Fingers Right
2534,132799,Pulling Hand In
2537,56596,Pushing Two Fingers Away
2538,143615,Rolling Hand Forward
2539,11921,Thumb Up
2541,55253,Thumb Up
2542,113250,Rolling Hand Forward
2544,45788,Sliding Two Fingers Right
2545,104989,Rolling Hand Forward
2547,6528,Turning Hand Counterclockwise
2549,96490,Sliding Two Fingers Down
2550,83236,Turning Hand Counterclockwise
2551,58977,Pulling Hand In
2552,108049,Thumb Up
2559,1906,Thumb Up
2560,143335,Sliding Two Fingers Left
2564,80086,Turning Hand Counterclockwise
2566,75671,Turning Hand Counterclockwise
2568,52475,Thumb Up
2569,119149,No gesture
2570,54403,Rolling Hand Forward
2571,86483,No gesture
2573,3930,Pulling Hand In
2584,5932,Thumb Up
2587,10791,Sliding Two Fingers Right
2594,80637,Pushing Two Fingers Away
2595,125416,Pushing Two Fingers Away
2596,126062,Turning Hand Counterclockwise
2601,14228,Thumb Up
2602,494,Shaking Hand
2603,60025,Pulling Hand In
